GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2,com.udea.lab2,DataController,0,95,0,4,0,23,0,7,0,5
lab2,com.udea.lab2,Lab2Application,5,3,0,0,2,1,1,1,1,1
